"Facility Type","USPS  / FAST Facility Key","Facility Name","Address #1","Address #2",City,State,"Zip Code","Job Name","Sales Order Number","Earliest In-Home","Latest In-Home","Earliest Delivery Date","Latest Delivery/Appointment Date","Latest Delivery/Appointment Time",Quantity,Weight,"Mail Processing Category","Version (Customer Ref#3)",Skids,Sacks,Trays,"Custom Ref#1","Custom Ref#2","Custom Ref#4","Custom Ref#5","Custom Ref#6","Custom Ref#7","Target Pickup Date"
SCF,E004291,"SCF GREENVILLE",,,,,29607,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,11852,402.53,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EV21380,"SCF WILMINGTON",,,,,19720,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,9065,308.9875,L,,1,,,169837,"Dollar Financial",,,,,
NDC,KW12400,"NDC CHICAGO",,,,,60130,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,11488,383.42,L,,1,,,169837,"Dollar Financial",,,,,
NDC,KW17798,"NDC ST LOUIS",,,,,63042,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,24373,801.5575,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EW17988,"SCF SPRINGFIELD",,,,,65801,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,9242,314.955,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EW1B651,"SCF KANSAS CITY",,,,,64121,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,12708,427.67,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EX23726,"SCF COLUMBIA",,,,,29292,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,16373,542.1575,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EX25496,"SCF MEMPHIS",,,,,38101,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,8820,302.15,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EX29536,"SCF CHARLESTON",,,,,29418,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,9704,329.26,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EY10113,"SCF BIRMINGHAM",,,,,35203,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,13080,450.7,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EY10814,"SCF MONTGOMERY",,,,,36119,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,5919,214.1725,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EY13800,"SCF JACKSON",,,,,39201,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,21612,708.83,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EZ16257,"SCF SALT LAKE CITY",,,,,84199,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,15418,516.195,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EZ20171,"SCF BAKERSFIELD",,,,,93380,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,6219,223.6225,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EZ22295,"SCF OAKLAND",,,,,94615,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,6074,214.035,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EZ22760,"SCF SACRAMENTO",,,,,95799,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,11518,392.145,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EZ22788,"SCF SN BERNARDINO",,,,,92403,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,13668,463.47,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EZ22793,"SCF SAN DIEGO",,,,,92199,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,8115,280.9625,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EZ22855,"SCF SANTA ANA",,,,,92799,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,7961,280.9275,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EZ23707,"SCF SANTA CLARITA",,,,,91383,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,6622,233.505,L,,1,,,169837,"Dollar Financial",,,,,
NDC,KZ24019,"NDC SAN FRAN",,,,,94850,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,12271,417.1525,L,,1,,,169837,"Dollar Financial",,,,,
SCF,EZ24121,"SCF LOS ANGELES",,,,,90052,"Dollar Financial",169837,2018-08-09,2018-08-11,2018-08-07,2018-08-07,,14349,488.4975,L,,1,,,169837,"Dollar Financial",,,,,
